cbsa,shortname,cbsa_name,pop2000,black_pop2000,black_diss,hisp_pop2000,hisp_diss,msa_name,popest2008,pcollege,lnpop2008,pblack2000,lnmedhhinc,phisp2000,region,mw,south,west,house_index_change,psubprime0406,housestart_ratio
10420,"Akron","Akron, OH",694960,80816,.647,5874,.257,"Akron, OH",698553,.2774799,13.45677,.1162887,10.76503,.0084523,"Midwest",1,0,0,1.448473,.2641836,.0724168
10580,"Albany","Albany-Schenectady-Troy, NY",825875,58423,.605,20365,.379,"Albany-Schenectady-Troy, NY",853919,.3161598,13.65759,.0707407,10.91062,.0246587,"Northeast",0,0,0,4.451152,.2271849,.0548225
10740,"Albuquerque","Albuquerque, NM",729649,22334,.309,302656,.398,"Albuquerque, NM",845913,.291593,13.64817,.0306092,10.72841,.4147967,"West",0,0,1,2.733598,.2310848,.1525689
10900,"Allentown","Allentown-Bethlehem-Easton, PA-NJ",740395,24661,.519,54358,.6,"Allentown-Bethlehem-Easton, PA-NJ",808210,.2507805,13.60258,.0333079,10.90449,.0734176,"Northeast",0,0,0,4.711483,.1897756,.1042809
12060,"Atlanta","Atlanta-Sandy Springs-Marietta, GA",4247981,1244328,.638,270407,.516,"Atlanta-Sandy Springs-Marietta, GA",5376285,.3346319,15.49751,.2929222,10.95618,.0636554,"South",0,1,0,2.045853,.2824952,.2900631
12420,"Austin","Austin-Round Rock, TX",1249763,105909,.508,327760,.456,"Austin-Round Rock, TX",1652602,.3821907,14.31786,.0847433,10.91194,.2622577,"South",0,1,0,1.659715,.1827342,.2699859
12540,"Bakersfield","Bakersfield, CA",661645,43735,.497,254036,.538,"Bakersfield, CA",800458,.1438721,13.59294,.0661004,10.70594,.3839461,"West",0,0,1,12.08147,.3473825,.1662236
12580,"Baltimore","Baltimore-Towson, MD",2552994,718236,.675,51329,.358,"Baltimore-Towson, MD",2667117,.3301999,14.79651,.2813309,11.04331,.0201054,"South",0,1,0,6.187268,.2535842,.0702636
12940,"Baton Rouge","Baton Rouge, LA",705973,242983,.6,11582,.303,"Baton Rouge, LA",774327,.2435176,13.55975,.3441817,10.69881,.0164057,"South",0,1,0,2.553029,.2969122,.1257811
13644,"Bethesda","Bethesda-Frederick-Gaithersburg, MD Metropolitan Division",1068618,156112,.465,105268,.465,"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division",1176401,.5219847,13.97797,.1460878,11.36815,.0985085,"South",0,1,0,6.806277,.1869576,.1050318
13820,"Birmingham","Birmingham-Hoover, AL",1052238,292829,.688,18567,.445,"Birmingham-Hoover, AL",1117608,.2559802,13.9267,.2782916,10.75079,.0176452,"South",0,1,0,2.292428,.2885233,.0722969
14484,"Boston","Boston-Quincy, MA Metropolitan Division",1812937,220159,.713,130558,.648,"Boston-Quincy, MA Metropolitan Division",1884659,.3904734,14.44926,.1214378,11.06068,.0720146,"Northeast",0,0,0,3.88123,.170355,.048486
14860,"Bridgeport","Bridgeport-Stamford-Norwalk, CT",882567,95831,.687,104835,.615,"Bridgeport-Stamford-Norwalk, CT",895030,.425778,13.70461,.1085821,11.26898,.1187842,"Northeast",0,0,0,4.432084,.1860248,.0483182
15380,"Buffalo","Buffalo-Cheektowaga-Tonawanda, NY",1170111,143805,.766,33967,.562,"Buffalo-Niagara Falls, NY",1124309,.2606521,13.93268,.1228986,10.70878,.0290289,"Northeast",0,0,0,2.062337,.219455,.036128
15764,"Cambridge","Cambridge-Newton-Framingham, MA Metropolitan Division",1465396,58586,.475,66707,.472,"Cambridge-Newton-Framingham, MA Metropolitan Division",1482478,.4757133,14.20923,.0399796,11.21196,.0455215,"Northeast",0,0,0,3.004087,.1287391,.0438339
15804,"Camden","Camden, NJ Metropolitan Division",1186999,189603,.565,73381,.564,"Camden, NJ Metropolitan Division",1250569,.2881118,14.03911,.1597331,11.08971,.0618206,"Northeast",0,0,0,4.973766,.2273161,.0806423
16700,"Charleston","Charleston-North Charleston, SC",549033,171817,.439,13091,.322,"Charleston-North Charleston-Summerville, SC",644506,.2859608,13.37624,.3129448,10.7855,.0238437,"South",0,1,0,3.790884,.219669,.2174973
16740,"Charlotte","Charlotte-Gastonia-Concord, NC-SC",1330448,301338,.539,68278,.508,"Charlotte-Gastonia-Concord, NC-SC",1701799,.3119643,14.3472,.2264936,10.85325,.0513196,"South",0,1,0,1.330121,.2424659,.2722838
16974,"Chicago","Chicago-Naperville-Joliet, IL Metropolitan Division",7628412,1554233,.802,1323868,.612,"Chicago-Naperville-Joliet, IL Metropolitan Division",7990248,.3236716,15.89373,.2037427,10.9789,.1735444,"Midwest",1,0,0,3.313709,.2766089,.0941104
17140,"Cincinnati","Cincinnati-Middletown, OH-KY-IN",2009632,240500,.725,22631,.29,"Cincinnati-Middletown, OH-KY-IN",2155137,.2709262,14.58336,.1196737,10.85757,.0112613,"Midwest",1,0,0,1.587151,.2215499,.1093034
17460,"Cleveland","Cleveland-Elyria-Mentor, OH",2148143,428114,.769,72570,.585,"Cleveland-Elyria-Mentor, OH",2088291,.2631813,14.55186,.1992949,10.77059,.0337827,"Midwest",1,0,0,1.360349,.2566234,.0549841
17900,"Columbia","Columbia, SC",647158,216113,.479,15608,.349,"Columbia, SC",728063,.2936739,13.49814,.3339416,10.75733,.0241178,"South",0,1,0,2.10814,.270944,.1633676
18140,"Columbus","Columbus, OH",1612694,222479,.621,28607,.369,"Columbus, OH",1773120,.3176216,14.38825,.1379549,10.85296,.0177386,"Midwest",1,0,0,1.556238,.239811,.1485067
19124,"Dallas","Dallas-Plano-Irving, TX Metropolitan Division",3451226,542371,.587,805593,.535,"Dallas-Plano-Irving, TX Metropolitan Division",4226003,.3124313,15.25677,.1571531,10.90007,.2334223,"South",0,1,0,1.582719,.2716896,.1892177
19380,"Dayton","Dayton, OH",848153,128282,.712,9811,.259,"Dayton, OH",836544,.2439439,13.63703,.1512486,10.7418,.0115675,"Midwest",1,0,0,1.140722,.2594039,.0620248
19740,"Denver","Denver-Aurora, CO",2157756,131666,.608,399193,.503,"Denver-Aurora, CO /1",2506626,.3603643,14.73445,.0610199,10.96887,.1850038,"West",0,0,1,1.702603,.2252896,.1709175
19804,"Detroit","Detroit-Livonia-Dearborn, MI Metropolitan Division",2061162,886289,.857,77207,.545,"Detroit-Livonia-Dearborn, MI Metropolitan Division",1949929,.1941543,14.4833,.4299948,10.67434,.037458,"Midwest",1,0,0,1.301704,.4194706,.0402168
20764,"Edison","Edison, NJ Metropolitan Division",2173869,168054,.576,191564,.491,"Edison-New Brunswick, NJ Metropolitan Division",2325224,.3590863,14.65933,.0773064,11.19908,.0881212,"Northeast",0,0,0,6.146823,.1680304,.0848685
21340,"El Paso","El Paso, TX",679622,23482,.333,531654,.452,"El Paso, TX",742062,.1802894,13.51719,.0345516,10.42478,.782279,"South",0,1,0,4.650308,.3511842,.1292227
22744,"Fort Lauderdale","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",1623018,360611,.608,271652,.31,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",1751234,.2854633,14.37583,.2221855,10.8439,.1673746,"South",0,1,0,10.97497,.3244786,.084773
23104,"Fort Worth","Fort Worth-Arlington, TX Metropolitan Division",1710318,198489,.592,312124,.477,"Fort Worth-Arlington, TX Metropolitan Division",2074003,.2601094,14.54499,.1160539,10.87593,.1824947,"South",0,1,0,1.596585,.2852508,.1782063
23420,"Fresno","Fresno, CA",799407,47153,.504,351636,.469,"Fresno, CA",909153,.1880136,13.72027,.058985,10.71395,.439871,"West",0,0,1,9.975275,.298513,.1298908
23844,"Gary","Gary, IN Metropolitan Division",675971,127344,.844,67362,.485,"Gary, IN Metropolitan Division",702458,.1944995,13.46234,.1883868,10.82854,.0996522,"Midwest",1,0,0,1.97758,.3066503,.0728562
24660,"Greensboro","Greensboro-High Point, NC",643430,152005,.535,27456,.444,"Greensboro-High Point, NC",705684,.2489717,13.46692,.2362417,10.66404,.0426713,"South",0,1,0,1.364271,.250346,.1455439
24860,"Greenville","Greenville, SC",559940,97119,.458,17514,.371,"Greenville-Mauldin-Easley, SC",624715,.2557798,13.34505,.1734454,10.68536,.0312783,"South",0,1,0,1.636461,.2284398,.1391753
25540,"Hartford","Hartford-West Hartford-East Hartford, CT",1148618,120604,.649,107490,.634,"Hartford-West Hartford-East Hartford, CT",1190512,.3305413,13.98989,.1049992,11.08197,.093582,"Northeast",0,0,0,3.604024,.2048471,.058283
26180,"Honolulu","Honolulu, HI",876156,29764,.349,58729,.328,"Honolulu, HI",905034,.2996669,13.71573,.0339711,11.07217,.0670303,"West",0,0,1,5.815784,.1584217,.063229
26420,"Houston","Houston-Baytown-Sugar Land, TX",4715407,816367,.648,1353477,.534,"Houston-Sugar Land-Baytown, TX",5728143,.2727567,15.5609,.1731276,10.85292,.2870329,"South",0,1,0,2.423288,.3165495,.2013285
26900,"Indianapolis","Indianapolis, IN",1525104,222999,.709,41544,.438,"Indianapolis-Carmel, IN",1715459,.2963324,14.35519,.1462189,10.8706,.0272401,"Midwest",1,0,0,1.180825,.266463,.1816566
27260,"Jacksonville","Jacksonville, FL",1122750,247829,.532,42541,.266,"Jacksonville, FL",1313228,.2559439,14.088,.2207339,10.84484,.03789,"South",0,1,0,5.783984,.2859485,.2341053
28140,"Kansas City","Kansas City, MO-KS",1836038,239059,.691,93893,.455,"Kansas City, MO-KS",2002047,.3123516,14.50968,.1302037,10.88863,.0511389,"Midwest",1,0,0,2.093045,.2735005,.1344052
28940,"Knoxville","Knoxville, TN",616079,41474,.559,7744,.254,"Knoxville, TN",691152,.2706074,13.44612,.0673193,10.70349,.0125698,"South",0,1,0,2.453477,.2274425,.1132361
29404,"Lake","Lake County-Kenosha County, IL-WI Metropolitan Division",793933,56644,.65,103473,.583,"Lake County-Kenosha County, IL-WI Metropolitan Division",876918,.3713405,13.68417,.0713461,11.18001,.1303296,"Midwest",1,0,0,2.764242,.2140128,.1369576
29820,"Las Vegas","Las Vegas-Paradise, NV",1375765,137477,.388,302143,.424,"Las Vegas-Paradise, NV",1865746,.2035419,14.43917,.0999277,10.90226,.2196182,"West",0,0,1,7.770884,.2828591,.3997928
30780,"Little Rock","Little Rock-North Little Rock, AR",610518,130930,.609,12646,.347,"Little Rock-North Little Rock-Conway, AR",675069,.2694763,13.42257,.2144572,10.72665,.0207136,"South",0,1,0,2.071379,.2259492,.112706
31084,"Los Angeles","Los Angeles-Long Beach-Glendale, CA Metropolitan Division",9519338,999747,.664,4242213,.631,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",9862049,.2761715,16.1042,.1050227,10.871,.4456416,"West",0,0,1,7.849059,.2401807,.0416979
31140,"Louisville","Louisville, KY-IN",1161975,155784,.626,19506,.342,"Louisville/Jefferson County, KY-IN",1244696,.2325366,14.0344,.1340683,10.73846,.0167869,"South",0,1,0,1.609302,.2320118,.1132789
32580,"McAllen","McAllen-Edinburg-Pharr, TX",569463,3327,.424,503100,.395,"McAllen-Edinburg-Mission, TX",726604,.1499772,13.49614,.0058423,10.25161,.8834639,"South",0,1,0,3.022583,.4689989,.2645398
32820,"Memphis","Memphis, TN-MS-AR",1205204,529002,.657,28401,.46,"Memphis, TN-MS-AR",1285732,.2393436,14.06684,.4389315,10.70313,.0235653,"South",0,1,0,1.358298,.3550903,.1434788
33124,"Miami","Miami-Miami Beach-Kendall, FL Metropolitan Division",2253362,487015,.694,1291737,.439,"Miami-Miami Beach-Kendall, FL Metropolitan Division",2398245,.2573886,14.69025,.2161282,10.64407,.5732487,"South",0,1,0,8.709714,.383274,.1349183
33340,"Milwaukee","Milwaukee-Waukesha-West Allis, WI",1500741,245151,.818,94511,.595,"Milwaukee-Waukesha-West Allis, WI",1549308,.2971027,14.25332,.1633533,10.85261,.0629762,"Midwest",1,0,0,2.916573,.24356,.0659056
33460,"Minneapolis","Minneapolis-St. Paul-Bloomington, MN-WI",2968806,184688,.576,99121,.465,"Minneapolis-St. Paul-Bloomington, MN-WI",3229878,.3654928,14.98796,.0622095,11.06454,.0333875,"Midwest",1,0,0,3.671924,.2082815,.1498625
34980,"Nashville","Nashville-Davidson--Murfreesboro, TN",1311789,200207,.575,41177,.46,"Nashville-Davidson--Murfreesboro--Franklin, TN",1550733,.2820886,14.25424,.1526213,10.81936,.03139,"South",0,1,0,1.910426,.2268731,.1762713
35004,"Suffolk","Suffolk County-Nassau County, NY Metropolitan Division",2753913,252581,.73,282693,.469,"Nassau-Suffolk, NY Metropolitan Division",2863849,.3535398,14.86768,.0917171,11.33975,.1026514,"Northeast",0,0,0,5.947809,.2407794,.0395323
35084,"Newark","Newark-Union, NJ-PA Metropolitan Division",2098843,476311,.8,272492,.651,"Newark-Union, NJ-PA Metropolitan Division",2121076,.3564082,14.56743,.2269398,11.13114,.1298296,"Northeast",0,0,0,4.803666,.2350385,.056371
35300,"New Haven","New Haven-Milford, CT",824008,100685,.656,83131,.578,"New Haven-Milford, CT",846101,.3088473,13.64839,.1221894,10.97726,.1008862,"Northeast",0,0,0,4.607871,.2551111,.0405251
35380,"New Orleans","New Orleans-Metairie-Kenner, LA",1316510,497952,.689,58415,.356,"New Orleans-Metairie-Kenner, LA",1134029,.2479866,13.94129,.3782364,10.73208,.0443711,"South",0,1,0,3.147298,.2429462,.0653943
35644,"New York","New York-Wayne-White Plains, NY-NJ Metropolitan Division",11296377,2661694,.803,2819828,.654,"New York-White Plains-Wayne, NY-NJ Metropolitan Division",11696649,.3389922,16.27481,.2356237,10.8711,.2496223,"Northeast",0,0,0,5.368575,.2229144,.0396367
36084,"Oakland","Oakland-Fremont-Hayward, CA Metropolitan Division",2392557,331363,.618,441686,.469,"Oakland-Fremont-Hayward, CA Metropolitan Division",2504071,.3833428,14.73343,.1384974,11.16345,.1846084,"West",0,0,1,5.952089,.177094,.0761101
36420,"Oklahoma City","Oklahoma City, OK",1095421,123667,.536,73253,.441,"Oklahoma City, OK",1206142,.2685495,14.00294,.1128945,10.684,.066872,"South",0,1,0,2.371249,.2652962,.1074938
36540,"Omaha","Omaha-Council Bluffs, NE-IA",767041,64241,.65,40232,.489,"Omaha-Council Bluffs, NE-IA",837925,.316957,13.63868,.0837517,10.87642,.0524509,"Midwest",1,0,0,1.648353,.2260809,.1422447
36740,"Orlando","Orlando, FL",1644561,245054,.541,271627,.387,"Orlando-Kissimmee, FL",2054574,.2739029,14.53558,.1490088,10.81555,.1651669,"South",0,1,0,6.73957,.3017046,.2918664
37100,"Ventura","Oxnard-Thousand Oaks-Ventura, CA",753197,18240,.458,251734,.561,"Oxnard-Thousand Oaks-Ventura, CA",797740,.3013324,13.58954,.0242168,11.198,.3342206,"West",0,0,1,6.964532,.1491792,.0897727
37764,"Essex","Essex County, MA Metropolitan Division",723419,24264,.605,79871,.706,"Peabody, MA Metropolitan Division",736457,.3533703,13.50961,.0335407,11.02687,.1104077,"Northeast",0,0,0,3.380866,.1782743,.0517942
37964,"Philadelphia","Philadelphia, PA Metropolitan Division",3849647,866114,.762,182727,.618,"Philadelphia, PA Metropolitan Division",3892194,.3256326,15.17448,.2249853,10.90717,.0474659,"Northeast",0,0,0,4.790148,.1796333,.0513467
38060,"Phoenix","Phoenix-Mesa-Scottsdale, AZ",3251876,137766,.433,817012,.521,"Phoenix-Mesa-Scottsdale, AZ",4281899,.2653259,15.26991,.0423651,10.87535,.2512433,"West",0,0,1,6.230684,.2765982,.2683141
38300,"Pittsburgh","Pittsburgh, PA",2431087,202891,.673,17408,.29,"Pittsburgh, PA",2351192,.2722488,14.67043,.0834569,10.71028,.0071606,"Northeast",0,0,0,2.147501,.2085135,.0424201
38900,"Portland","Portland-Vancouver-Beaverton, OR-WA",1927881,64533,.464,142842,.342,"Portland-Vancouver-Beaverton, OR-WA",2207462,.3189498,14.60735,.0334735,10.89553,.0740927,"West",0,0,1,3.258902,.2108534,.1291399
39100,"Poughkeepsie","Poughkeepsie-Newburgh-Middletown, NY",621517,59415,.508,57798,.391,"Poughkeepsie-Newburgh-Middletown, NY",672525,.2809191,13.41879,.0955967,11.10309,.092995,"Northeast",0,0,0,5.341895,.2256475,.0874904
39300,"Providence","Providence-New Bedford-Fall River, RI-MA",1582997,73160,.566,110062,.645,"Providence-New Bedford-Fall River, RI-MA",1596611,.2738814,14.28339,.0462161,10.89792,.0695276,"Northeast",0,0,0,5.806064,.2158501,.0450463
39580,"Raleigh","Raleigh-Cary, NC",797071,161329,.404,45525,.349,"Raleigh-Cary, NC",1088765,.4031086,13.90055,.2024023,10.96775,.0571154,"South",0,1,0,1.315192,.1857023,.3012977
40060,"Richmond","Richmond, VA",1096957,340076,.532,24281,.398,"Richmond, VA",1225626,.3018856,14.01896,.3100176,10.93804,.0221349,"South",0,1,0,4.256549,.2516589,.1356863
40140,"Riverside","Riverside-San Bernardino-Ontario, CA",3254821,280081,.449,1228962,.425,"Riverside-San Bernardino-Ontario, CA",4115871,.1865873,15.23036,.0860511,10.91492,.377582,"West",0,0,1,8.933917,.3099218,.2193124
40380,"Rochester","Rochester, NY",1037831,119598,.664,46655,.54,"Rochester, NY",1034090,.3021134,13.84903,.1152384,10.80989,.0449543,"Northeast",0,0,0,1.675868,.2070849,.0469668
40900,"Sacramento","Sacramento--Arden-Arcade--Roseville, CA",1796857,147978,.556,278182,.403,"Sacramento--Arden-Arcade--Roseville, CA",2109832,.2955801,14.56212,.0823538,10.97644,.1548159,"West",0,0,1,7.440388,.2114384,.1864945
41180,"St Louis","St. Louis, MO-IL",2698687,491858,.732,40437,.277,"St. Louis, MO-IL",2816710,.2800839,14.85108,.1822583,10.85346,.014984,"Midwest",1,0,0,2.72015,.2621166,.0901324
41620,"Salt Lake City","Salt Lake City, UT",968858,13689,.357,113407,.412,"Salt Lake City, UT",1115692,.290278,13.92498,.014129,10.91625,.1170522,"West",0,0,1,1.932411,.2583398,.1439608
41700,"San Antonio","San Antonio, TX",1711703,115468,.509,863162,.497,"San Antonio, TX",2031445,.2387871,14.52426,.067458,10.7408,.5042709,"South",0,1,0,3.107636,.2818097,.1675078
41740,"San Diego","San Diego-Carlsbad-San Marcos, CA",2813833,186679,.535,750965,.506,"San Diego-Carlsbad-San Marcos, CA",3001072,.3322652,14.91448,.0663433,11.01814,.2668833,"West",0,0,1,6.869879,.162908,.091956
41884,"San Francisco","San Francisco-San Mateo-Redwood City, CA Metropolitan Division",1731183,104572,.6,291563,.535,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",1770460,.4790222,14.38675,.0604049,11.21936,.1684184,"West",0,0,1,4.219801,.0921908,.0351293
41940,"San Jose","San Jose-Sunnyvale-Santa Clara, CA",1735819,57387,.399,428917,.507,"San Jose-Sunnyvale-Santa Clara, CA",1819198,.4315548,14.41391,.0330605,11.32254,.2470978,"West",0,0,1,3.830823,.127152,.0665004
42044,"Orange","Santa Ana-Anaheim-Irvine, CA Metropolitan Division",2846289,59426,.371,875579,.551,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",3010759,.3456122,14.9177,.0208784,11.17886,.3076213,"West",0,0,1,7.615509,.1595297,.0655492
42260,"Sarasota","Sarasota-Bradenton-Venice, FL",589959,37387,.652,38682,.473,"Bradenton-Sarasota-Venice, FL",687823,.2748268,13.44129,.0633722,10.78818,.0655673,"South",0,1,0,8.278275,.2131579,.2196691
42540,"Scranton","Scranton--Wilkes-Barre, PA",560625,9723,.556,6858,.396,"Scranton--Wilkes-Barre, PA",549150,.2046416,13.21613,.0173431,10.61489,.0122328,"Northeast",0,0,0,1.771676,.2311354,.0288704
42644,"Seattle","Seattle-Bellevue-Everett, WA Metropolitan Division",2343058,126874,.489,123832,.302,"Seattle-Bellevue-Everett, WA Metropolitan Division",2559174,.3943214,14.75519,.0541489,11.06758,.0528506,"West",0,0,1,3.16707,.1738503,.1174822
44140,"Springfield","Springfield, MA",680014,45919,.642,75834,.641,"Springfield, MA",687558,.2854085,13.4409,.0675265,10.78446,.1115183,"Northeast",0,0,0,3.901538,.2427696,.0383807
44700,"Stockton","Stockton, CA",563598,42459,.526,172073,.364,"Stockton, CA",672388,.1676614,13.41859,.0753356,10.87563,.3053116,"West",0,0,1,8.513835,.2886276,.2108924
45060,"Syracuse","Syracuse, NY",650154,49386,.692,13501,.444,"Syracuse, NY",643794,.2693331,13.37513,.0759605,10.76458,.0207658,"Northeast",0,0,0,2.85994,.2074015,.0358935
45104,"Tacoma","Tacoma, WA Metropolitan Division",700820,59948,.454,38621,.31,"Tacoma, WA Metropolitan Division",785639,.2301157,13.57425,.0855398,10.90485,.0551083,"West",0,0,1,3.932256,.2729014,.1384619
45300,"Tampa","Tampa-St. Petersburg-Clearwater, FL",2395997,258091,.629,248642,.444,"Tampa-St. Petersburg-Clearwater, FL",2733761,.2507587,14.82119,.1077176,10.7198,.1037739,"South",0,1,0,7.160581,.2982429,.1533305
45780,"Toledo","Toledo, OH",659188,84069,.694,28660,.338,"Toledo, OH",649104,.2301733,13.38335,.1275342,10.73346,.0434777,"Midwest",1,0,0,1.611413,.2442264,.0708542
46060,"Tucson","Tucson, AZ",843746,30893,.379,247578,.488,"Tucson, AZ",1012018,.295532,13.82746,.0366141,10.70068,.2934272,"West",0,0,1,5.12291,.2230935,.1602473
46140,"Tulsa","Tulsa, OK",859532,81169,.567,39534,.4,"Tulsa, OK",916079,.2461373,13.72786,.0944339,10.68622,.0459948,"South",0,1,0,1.6823,.2875382,.0895328
47260,"Norfolk","Virginia Beach-Norfolk-Newport News, VA-NC",1576370,504847,.459,49014,.316,"Virginia Beach-Norfolk-Newport News, VA-NC",1658292,.2655879,14.3213,.3202592,10.90489,.031093,"South",0,1,0,6.286531,.2511737,.1032412
47644,"Warren","Warren-Farmington Hills-Troy, MI Metropolitan Division",2391395,156963,.679,49711,.309,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2475181,.3124897,14.72182,.0656366,11.03468,.0207874,"Midwest",1,0,0,1.310958,.2027225,.1020385
47894,"Washington","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",3727565,1165208,.657,324420,.477,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",4181729,.4445497,15.24623,.3125923,11.28628,.0870327,"South",0,1,0,7.7471,.2277642,.1406959
48424,"Palm Beach","West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",1131184,168585,.647,140675,.425,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",1265293,.3035733,14.05081,.1490341,10.86573,.1243608,"South",0,1,0,9.778423,.2543023,.1494472
48620,"Wichita","Wichita, KS",571166,47218,.582,41282,.425,"Wichita, KS",603716,.253839,13.31086,.0826695,10.75357,.0722767,"Midwest",1,0,0,1.469043,.2459775,.0939916
48864,"Wilmington","Wilmington, DE-MD-NJ Metropolitan Division",650501,118712,.527,30097,.448,"Wilmington, DE-MD-NJ Metropolitan Division",695708,.2827015,13.45269,.1824932,11.01914,.0462674,"South",0,1,0,4.349215,.2252314,.085848
49340,"Worcester","Worcester, MA",750963,24381,.503,50864,.559,"Worcester, MA",783806,.3124865,13.57192,.0324663,11.01385,.0677317,"Northeast",0,0,0,4.004787,.2051939,.0777648
